Country_REF	Country_ISO	Country_ALT	Region_REF	Region_ALT
Benin	BEN	Benin	Littoral	Littoral
Benin	BEN	Benin	Kouffo	Couffo
Benin	BEN	Benin	Oueme	Oueme
Benin	BEN	Benin	Atlanique	Atlantique
Benin	BEN	Benin	Mono	Mono
Bolivia	BOL	Bolivia	Beni	Beni
Bolivia	BOL	Bolivia	Chuquisaca	Chuquisaca
Bolivia	BOL	Bolivia	Cochabamba	Cochabamba
Bolivia	BOL	Bolivia	La Paz	La Paz
Bolivia	BOL	Bolivia	Oruro	Oruro
Bolivia	BOL	Bolivia	Pando	Pando
Bolivia	BOL	Bolivia	Potosí	Potosi
Bolivia	BOL	Bolivia	Santa Cruz	Santa Cruz
Bolivia	BOL	Bolivia	Tarija	Tarija
Brazil	BRA	Brazil	Roraima	Roraima
Brazil	BRA	Brazil	Amapa	Amapa
Brazil	BRA	Brazil	Amazonas	Amazonas
Brazil	BRA	Brazil	Para	Para
Brazil	BRA	Brazil	Maranhao	Maranhao
Brazil	BRA	Brazil	Ceara	Ceara
Brazil	BRA	Brazil	Rio Granda do Norte	Rio Grande do Norte
Brazil	BRA	Brazil	Paraiba	Paraiba
Brazil	BRA	Brazil	Piaui	Piaui
Brazil	BRA	Brazil	Pernambuco	Pernambuco
Brazil	BRA	Brazil	Alagoas	Alagoas
Brazil	BRA	Brazil	Acre	Acre
Brazil	BRA	Brazil	Rondonia	Rondonia
Brazil	BRA	Brazil	Sergipe	Sergipe
Brazil	BRA	Brazil	Tocantins	Tocantins
Brazil	BRA	Brazil	Bahia	Bahia
Brazil	BRA	Brazil	Mato Grosso	Mato Grosso
Brazil	BRA	Brazil	Goias	Goias
Brazil	BRA	Brazil	Distrito Federal	Distrito Federal
Brazil	BRA	Brazil	Minas Gerais	Minas Gerais
Brazil	BRA	Brazil	Espirito Santo	Espirito Santo
Brazil	BRA	Brazil	Mato Grosso do Sul	Mato Grosso do Sul
Brazil	BRA	Brazil	Rio de Jeneiro	Rio de Janeiro
Brazil	BRA	Brazil	Sao Paulo	Sao Paulo
Brazil	BRA	Brazil	Parana	Parana
Brazil	BRA	Brazil	Santa Catarina	Santa Catarina
Brazil	BRA	Brazil	Rio Grande do Sul	Rio Grande do Sul
Brunei	BRN	Brunei	Belait	NA
Brunei	BRN	Brunei	Tutong	NA
Brunei	BRN	Brunei	Brunei-Muara	NA
Brunei	BRN	Brunei	Temburong	NA
Bulgaria	BGR	Bulgaria	Blagoevgrad	Blagoevgrad
Bulgaria	BGR	Bulgaria	Burgas	Burgas
Bulgaria	BGR	Bulgaria	Dobrich	Dobrich
Bulgaria	BGR	Bulgaria	Gabrovo	Gabrovo
Bulgaria	BGR	Bulgaria	Haskovo	Haskovo
Bulgaria	BGR	Bulgaria	Kardzhali	Kyrdjali,Kyrdzhali
Bulgaria	BGR	Bulgaria	Kyustendil	Kyustendil
Bulgaria	BGR	Bulgaria	Lovech	Lovech
Bulgaria	BGR	Bulgaria	Montana	Montana
Bulgaria	BGR	Bulgaria	Pazardzhik	Pazardzhik
Bulgaria	BGR	Bulgaria	Pernik	Pernik
Bulgaria	BGR	Bulgaria	Pleven	Pleven
Bulgaria	BGR	Bulgaria	Plovdiv	Plovdiv
Bulgaria	BGR	Bulgaria	Razgrad	Razgrad
Bulgaria	BGR	Bulgaria	Ruse	Ruse
Bulgaria	BGR	Bulgaria	Shumen	Shumen
Bulgaria	BGR	Bulgaria	Silistra	Silistra
Bulgaria	BGR	Bulgaria	Sliven	Sliven
Bulgaria	BGR	Bulgaria	Smolyan	Smolyan
Bulgaria	BGR	Bulgaria	Sofia	Sofia
Bulgaria	BGR	Bulgaria	Sofia City	NA
Bulgaria	BGR	Bulgaria	Stara Zagora	Stara Zagora
Bulgaria	BGR	Bulgaria	Targovishte	Tyrgovishte
Bulgaria	BGR	Bulgaria	Varna	Varna
Bulgaria	BGR	Bulgaria	Veliko Tarnovo	Veliko Tyrnovo
Bulgaria	BGR	Bulgaria	Vidin	Vidin
Bulgaria	BGR	Bulgaria	Vratsa	Vratsa
Bulgaria	BGR	Bulgaria	Yambol	Yambol
Burkina Faso	BFA	Burkina Faso	Centre	Centre
Burkina Faso	BFA	Burkina Faso	Boucle du Mouhoun	Boucle du Mouhoun
Burkina Faso	BFA	Burkina Faso	Cascades	NA
Burkina Faso	BFA	Burkina Faso	Centre-Est	NA
Burkina Faso	BFA	Burkina Faso	Centre-Nord	NA
Burkina Faso	BFA	Burkina Faso	Centre-Ouest	NA
Burkina Faso	BFA	Burkina Faso	Centre-Sud	NA
Burkina Faso	BFA	Burkina Faso	Est	NA
Burkina Faso	BFA	Burkina Faso	Hauts-Bassins	Hauts-Bassins
Burkina Faso	BFA	Burkina Faso	Nord	NA
Burkina Faso	BFA	Burkina Faso	Plateau Central	Plateau-Central
Burkina Faso	BFA	Burkina Faso	Sahel	NA
Burkina Faso	BFA	Burkina Faso	Sud-Ouest	Sud-Ouest
Burundi	BDI	Burundi	Gitega	NA
Burundi	BDI	Burundi	Kirundo	NA
Burundi	BDI	Burundi	Muyinga	NA
Burundi	BDI	Burundi	Ngozi	NA
Burundi	BDI	Burundi	Makamba	NA
Burundi	BDI	Burundi	Rutana	NA
Burundi	BDI	Burundi	Ruyigi	NA
Burundi	BDI	Burundi	Cankuzo	NA
Burundi	BDI	Burundi	Karuzi	NA
Burundi	BDI	Burundi	Cibitoke	NA
Burundi	BDI	Burundi	Kayanza	NA
Burundi	BDI	Burundi	Bubanza	NA
Burundi	BDI	Burundi	Muramvya	NA
Burundi	BDI	Burundi	Bujumbura Rural	NA
Burundi	BDI	Burundi	Bujumbura Mairie	NA
Burundi	BDI	Burundi	Bururi	NA
Burundi	BDI	Burundi	Mwaro	NA
Burundi	BDI	Burundi	Rumonge	NA
Cabo Verde	CPV	Cabo Verde	Boa Vista	Boa Vista
Cabo Verde	CPV	Cabo Verde	Brava	Brava
Cabo Verde	CPV	Cabo Verde	Maio	Maio
Cabo Verde	CPV	Cabo Verde	Sal	Sal
Cabo Verde	CPV	Cabo Verde	São Vicente	Sao Vicente
Cabo Verde	CPV	Cabo Verde	Ribeira Brava	NA
Cabo Verde	CPV	Cabo Verde	Tarrafal de São Nicolau	NA
Cabo Verde	CPV	Cabo Verde	Porto Novo	NA
Cabo Verde	CPV	Cabo Verde	Ribeira Grande	NA
Cabo Verde	CPV	Cabo Verde	Paul	NA
Cabo Verde	CPV	Cabo Verde	Mosteiros	NA
Cabo Verde	CPV	Cabo Verde	Santa Catarina do Fogo	NA
Cabo Verde	CPV	Cabo Verde	São Filipe	NA
Cabo Verde	CPV	Cabo Verde	São Miguel	NA
Cabo Verde	CPV	Cabo Verde	Tarrafal	NA
Cabo Verde	CPV	Cabo Verde	Santa Catarina	NA
Cabo Verde	CPV	Cabo Verde	Santa Cruz	NA
Cabo Verde	CPV	Cabo Verde	São Salvador do Mundo	NA
Cabo Verde	CPV	Cabo Verde	São Lourenço dos Órgãos	NA
Cabo Verde	CPV	Cabo Verde	São Domingos	NA
Cabo Verde	CPV	Cabo Verde	Praia	Praia
Cabo Verde	CPV	Cabo Verde	Ribeira Grande de Santiago	NA
Cambodia	KHM	Cambodia	Stung Treng	Steung Treng
Cambodia	KHM	Cambodia	Preah Vihear	NA
Cambodia	KHM	Cambodia	Kampong Thom	NA
Cambodia	KHM	Cambodia	Phnom Penh	Phnom Penh
Cambodia	KHM	Cambodia	Koh Kong	NA
Cambodia	KHM	Cambodia	Kep	NA
Cambodia	KHM	Cambodia	Kampot	NA
Cambodia	KHM	Cambodia	Takeo	NA
Cambodia	KHM	Cambodia	Kandal	NA
Cambodia	KHM	Cambodia	Pursat	NA
Cambodia	KHM	Cambodia	Ratanakiri Province	NA
Cambodia	KHM	Cambodia	Kampong Chhnang	NA
Cambodia	KHM	Cambodia	Pailin	NA
Cambodia	KHM	Cambodia	Bantey Meanchey	NA
Cambodia	KHM	Cambodia	Siem Reap	NA
Cambodia	KHM	Cambodia	Oddar Meanchey	NA
Cambodia	KHM	Cambodia	Kampong Cham	NA
Cambodia	KHM	Cambodia	Mondulkiri	NA
Cambodia	KHM	Cambodia	Kratie	NA
Cambodia	KHM	Cambodia	Prey Veng	NA
Cambodia	KHM	Cambodia	Kampong Speu	NA
Cambodia	KHM	Cambodia	Svay Rieng	NA
Cambodia	KHM	Cambodia	Preah Sihanouk	NA
Cambodia	KHM	Cambodia	Tbong Khmum	NA
Cambodia	KHM	Cambodia	Battambang	NA
Cameroon	CMR	Cameroon	Centre	Centre
Cameroon	CMR	Cameroon	Far North	Far North
Cameroon	CMR	Cameroon	North	North,NORD
Cameroon	CMR	Cameroon	North-West	North-West
Cameroon	CMR	Cameroon	Adamaoua	Adamaoua
Cameroon	CMR	Cameroon	East	East
Cameroon	CMR	Cameroon	South	South
Cameroon	CMR	Cameroon	South-West	South-West
Cameroon	CMR	Cameroon	West	West
Cameroon	CMR	Cameroon	Littoral	Littoral
Canada	CAN	Canada	Newfoundland and Labrador	Newfoundland and Labrador
Canada	CAN	Canada	Prince Edward Island	Prince Edward Island
Canada	CAN	Canada	Nova Scotia	Nova Scotia
Canada	CAN	Canada	New Brunswick	New Brunswick
Canada	CAN	Canada	Quebec	Quebec
Canada	CAN	Canada	Ontario	Ontario
Canada	CAN	Canada	Manitoba	Manitoba
Canada	CAN	Canada	Saskatchewan	Saskatchewan
Canada	CAN	Canada	Alberta	Alberta
Canada	CAN	Canada	British Columbia	British Columbia
Canada	CAN	Canada	Yukon	NA
Canada	CAN	Canada	Northwest Territories	NA
Canada	CAN	Canada	Nunavut	NA
Chile	CHL	Chile	RegiÃ³n de Antofagasta	Region de Antofagasta,Region De Antofagasta
Chile	CHL	Chile	RegiÃ³n de Arica y Parinacota	Region de Arica y Parinacota,Region De Arica Y Parinacota
Chile	CHL	Chile	RegiÃ³n de Atacama	Region de Atacama,Region De Atacama
Chile	CHL	Chile	RegiÃ³n de AysÃ©n del Gral.IbaÃ±ez del Campo	NA
Chile	CHL	Chile	RegiÃ³n de Coquimbo	Region de Coquimbo,Region De Coquimbo
Chile	CHL	Chile	RegiÃ³n de La AraucanÃ­a	NA
Chile	CHL	Chile	RegiÃ³n de Los Lagos	Region de los lagos,Region De Los Lagos
Chile	CHL	Chile	RegiÃ³n de Los RÃ­os	NA
Chile	CHL	Chile	RegiÃ³n de Magallanes y AntÃ¡rtica Chilena	NA
Chile	CHL	Chile	RegiÃ³n de Ã<U+0091>uble	NA
Chile	CHL	Chile	RegiÃ³n de TarapacÃ¡	NA
Chile	CHL	Chile	RegiÃ³n de ValparaÃ­so	NA
Chile	CHL	Chile	RegiÃ³n del BÃ­o-BÃ­o	NA
Chile	CHL	Chile	RegiÃ³n del Libertador Bernardo O'Higgins	NA
Chile	CHL	Chile	RegiÃ³n del Maule	Region del Maule,Region Del Maule
Chile	CHL	Chile	RegiÃ³n Metropolitana de Santiago	Region Metropolitana de Santiago
Colombia	COL	Colombia	Caldas	Caldas,Cali,CALDAS
Colombia	COL	Colombia	Amazonas	Amazonas
Colombia	COL	Colombia	Meta	Meta
Colombia	COL	Colombia	Cundinamarca	Cundinamarca
Colombia	COL	Colombia	Tolima	Tolima
Colombia	COL	Colombia	Antioquia	Antioquia
Colombia	COL	Colombia	Atlántico	Atlantico,Atlántico
Colombia	COL	Colombia	Bolívar	Bolivar,Bolívar
Colombia	COL	Colombia	Cesar	Cesar
Colombia	COL	Colombia	Magdalena	Magdalena
Colombia	COL	Colombia	Sucre	Sucre
Colombia	COL	Colombia	Córdoba	Cordoba,Córdoba
Colombia	COL	Colombia	La Guajira	La Guajira,Guajira
Colombia	COL	Colombia	Chocó	Choco
Colombia	COL	Colombia	Valle del Cauca	Valle del Cauca,Valle Del Cauca,Valle del cauca
Colombia	COL	Colombia	Norte de Santander	Norte de Santander,Norte De Santander
Colombia	COL	Colombia	Quindío	Quindío,Quindio
Colombia	COL	Colombia	Vichada	Vichada
Colombia	COL	Colombia	Vaupés	Vaupés,Vaupes
Colombia	COL	Colombia	Santander	Santander,San Andres,Santa Fe
Colombia	COL	Colombia	Risaralda	Risaralda
Colombia	COL	Colombia	Putumayo	Putumayo,Tumaco
Colombia	COL	Colombia	Nariño	Narino,Nariño
Colombia	COL	Colombia	Guaviare	Guaviare
Colombia	COL	Colombia	Guainía	Guanía,Guainia
Colombia	COL	Colombia	Bogota Capital District	NA
Colombia	COL	Colombia	Arauca	Arauca
Colombia	COL	Colombia	Boyacá	Boyaca,Boyacá
Colombia	COL	Colombia	Casanare	Casanare
Colombia	COL	Colombia	Cauca	Cauca,CAUCA
Colombia	COL	Colombia	Caquetá	Caqueta,Caquetá
Colombia	COL	Colombia	Huila	Huila
Colombia	COL	Colombia	Archipiélago de San Andrés, Providencia y Santa Catalina	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Upper Uele	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Ituri	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Tshopo	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Lower Uele	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Mongala	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Nord-Ubangi	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Tshuapa	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Équateur	Equateur
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Haut-Katanga	Haut-Katanga,Haut-katanga,Haut_Katanga,Haut Katanga
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Haut-Lomami	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Kongo-Central	Kongo-Central,Kongo Central,Kongo central
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Kwango	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Sankuru	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Sud-Ubangi	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Tanganyika	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Kasai	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Kasai-Oriental	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Maniema	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	North Kivu	Nord-Kivu
Dem Rep of the Congo	COD	Democratic Republic of the Congo	South Kivu	Sud Kivu,Sud-Kivu
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Central Kasai	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Lomami	NA
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Lualaba	Lualaba
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Kinshasa	Kinshasa
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Kwilu	Kwilu
Dem Rep of the Congo	COD	Democratic Republic of the Congo	Mai-Ndombe	NA
Rep of the Congo	COG	Republic of the Congo	Bouenza	NA
Rep of the Congo	COG	Republic of the Congo	Cuvette	NA
Rep of the Congo	COG	Republic of the Congo	Cuvette-Ouest	NA
Rep of the Congo	COG	Republic of the Congo	Kouilou	NA
Rep of the Congo	COG	Republic of the Congo	Likouala	NA
Rep of the Congo	COG	Republic of the Congo	Lékoumou	NA
Rep of the Congo	COG	Republic of the Congo	Niari	NA
Rep of the Congo	COG	Republic of the Congo	Plateaux	NA
Rep of the Congo	COG	Republic of the Congo	Pool	NA
