Country	TEST_Region	COR_Region
Lithuania	Alytus apskr.	Alytus County
Lithuania	Telsiu apskr.	Telsiai County
Lithuania	Panevezio apskr.	Panevezys County
Lithuania	Marijampoles apskr.	Marijampole County
Lithuania	Taurages apskr.	Taurage County
Lithuania	Taurages apskr	Taurage County
Lithuania	Marijampoles apskr	Marijampole County
Lithuania	Utenos	Utena County
Lithuania	Siauliu apskr	Siauliai County
Lithuania	Panevezio apskritis	Panevezys County
Lithuania	Klaipedos apskr	Klaipeda County
Lithuania	KlaipÄ—dos apskr.	Klaipeda County
Lithuania	Telsiu apskr	Telsiai County
Lithuania	Utenos apskr	Utena County
Lithuania	Å iauliÅ³ apskr.	Siauliai County
Lithuania	PanevÄ—Å¾io apskr.	Panevezys County
Lithuania	Marijampole	Marijampole County
Lithuania	TelÅ¡iÅ³ apskr.	Telsiai County
Lithuania	Telsiu apskritis	Telsiai County
Lithuania	Alytaus apskr	Alytus County
Lithuania	MarijampolÄ—s apskr.	Marijampole County
Lithuania	Telsiy apskr	Telsiai County
Lithuania	Raseiniai	Kaunas County
Lithuania	Prienai	Kaunas County
Lithuania	Kedainiai	Kaunas County
Lithuania	Marijampole apskr.	Marijampole County
Lithuania	Utena apskr.	Utena County
Lithuania	TauragÄ—s apskr.	Taurage County
Lithuania	Taurage apskr.	Taurage County
Lithuania	Radviliskis	Siauliai County
Lithuania	KlaipÄ—da	Klaipeda County
Lithuania	Vilkaviskis	Marijampole County
Lithuania	Telsiai apskr.	Telsiai County
Lithuania	Kaisiadorys	Kaunas County
Lithuania	Vilniaus r.	Vilnius County
Lithuania	Visaginas	Utena County
Lithuania	Radviliskio apskritis	Siauliai County
Poland	Malopolskie	Krakow
Poland	Dolnoslaskie	Wroclaw
Poland	Zachodniopomorskie	Szczecin
Poland	Mazowieckie	Warszawa
Poland	Lubelskie	powiat lubelski
Poland	Lubuskie	Zielona Góra
Poland	Warminsko-Mazurskie	Olsztyn
Poland	Podlaskie	Bialystok
Poland	Wielkopolskie	Poznan
Poland	Slask	powiat zabkowicki
Poland	Lodzkie	Lódz
Poland	Kujawsko-Pomorskie	Bydgoszcz
Poland	Podkarpackie	Rzeszów
Poland	Slaskie	Katowice
Poland	Pomorskie	Gdansk
Poland	Swietokrzyskie	Kielce
Poland	Dolnoslakie	Wroclaw
Poland	zachodniopomorskie	Szczecin
Poland	Pomorze	Gdansk
Poland	Ma?opolskie	Krakow
Poland	Lower Silesian Voivodeship	Wroclaw
Poland	Wielkopolskie voivodeship	Poznan
Poland	Swietokrzyskie Voivodeship	Kielce
Poland	Masovia	Warszawa
Poland	West Pomeranian Voivodeship	Szczecin
Poland	Pomerania	Gdansk
Poland	Lower Silesia	Wroclaw
Poland	Warminsko-mazurskie	Olsztyn
Poland	Kujawsko-pomorskie	Bydgoszcz
Poland	Warmia	Olsztyn
Poland	Kuyavian- Pomeranian	Bydgoszcz
Poland	Grybow	Nowy Sacz
Poland	Silesia	Wroclaw
Poland	Lebus	Zielona Góra
Poland	lodzkie	Lódz
Poland	woj. slaskie	Katowice
Poland	Warmi?sko-Mazurskie	Olsztyn
Poland	Swietokrzyski	Kielce
Poland	podkarpackie	Rzeszów
Poland	malopolskie	Krakow
Poland	lubelskie	powiat lubelski
Poland	mazowieckie	Warszawa
Poland	lubuskie	Zielona Góra
Poland	?l?skie	Katowice
Poland	Krotoszynski	powiat krotoszynski
Poland	Zgierski	powiat zgierski
Poland	Lodz	Lódz
Poland	Rawski	powiat rawski
Poland	Kepinski	powiat kepinski
Poland	Czarnkowsko-Trzcianecki	powiat czarnkowsko-trzcianecki
Poland	Gnieznienski	powiat gnieznienski
Poland	Zlotowski	powiat zlotowski
Poland	Wolsztynski	powiat wolsztynski
Poland	Sremski	powiat sremski
Poland	Lodzki Wschodni	powiat lódzki wschodni
Poland	Malopolska	Krakow
Poland	Kuyavian-Pomeranian	Bydgoszcz
Poland	Lubelskie voivodeship	Lublin
Poland	Podlaskie Voivodeship	Bialystok
Poland	Koscianski	powiat koscianski
Poland	Kutnowski	Kutno County
Poland	Sredzki	powiat sredzki
Poland	Malpolskie	Krakow
Poland	Pabianice	powiat pabianicki
Poland	Opoczynski	powiat opoczynski
Poland	Greater Poland Voivodeship	Poznan
Poland	woj. Slaskie	Katowice
Poland	Welkopolskie	Poznan
Poland	Kujawskopomorskie	Bydgoszcz
Poland	Warmia and Mazury	Olsztyn
Poland	wielkopolskie	Poznan
Poland	warminsko - mazurskie	Olsztyn
Poland	Lubelskie Voivodeship	Lublin
Poland	Pomorskie Voivodeship	Gdansk
Poland	Pabianicki	powiat pabianicki
Poland	Pilski	powiat pilski
Poland	Jarocinski	powiat jarocinski
Poland	Gostynin	powiat gostyninski
Poland	Pleszewski	powiat pleszewski
Poland	Kujawsko-Europe	Bydgoszcz
Poland	Wielkopolska	Poznan
Slovenia	Jugovzhodna	Vzhodna
Slovenia	Osrednjeslovenska	Zahodna Slovenija
Slovenia	Podravska	Vzhodna
Slovenia	Obalnokraska	Zahodna Slovenija
Slovenia	Savinjska	Vzhodna
Slovenia	Gorenjska	Zahodna Slovenija
Slovenia	Pomurska	Vzhodna
Slovenia	Posavska	Vzhodna
Slovenia	Koroska	Vzhodna
Slovenia	Primorskonotranjska	Vzhodna
Slovenia	Goriska	Zahodna Slovenija
Slovenia	Zasavska	Vzhodna
Slovenia	GoriA!ka	Zahodna Slovenija
Spain	Balearic Islands	Illes Balears
Spain	Asturias	Principado de Asturias
Spain	Catalunya	Cataluña/Catalunya
Spain	Madrid	Comunidad de Madrid
Spain	Navarra	Comunidad Foral de Navarra
Spain	Melilla	Ciudad Autónoma de Melilla
Spain	Ceuta	Ciudad Autónoma de Ceuta
Spain	Murcia	Región de Murcia
Spain	Balearic Island	Illes Balears
Spain	Cataluna	Cataluña/Catalunya
Spain	Santiago de Compostela	Galicia
Spain	Catalonia	Cataluña/Catalunya
Spain	Valencian Community	Comunitat Valenciana
Spain	Cuenca	Castilla-La Mancha
Spain	Alicante	Comunitat Valenciana
Spain	Canary Island	Canarias
Spain	Tossa de Mar	Cataluña/Catalunya
Spain	Sevilla	Andalucía
Spain	Asturiash	Principado de Asturias
Spain	Cadiz	Andalucía
Spain	Valence	Comunitat Valenciana
Spain	Pais Vasco	País Vasco/Euskadi
Spain	Ciudad Real	Castilla-La Mancha
Spain	Basque Country	País Vasco/Euskadi
Spain	Logrono	La Rioja
Spain	Toledo	Castilla-La Mancha
Spain	Albacete	Castilla-La Mancha
Spain	Barcelona	Cataluña/Catalunya
Spain	Albacet	Castilla-La Mancha
Spain	FUERNGIROLA	Andalucía
Spain	Leganes	Comunidad de Madrid
Sweden	Vastra Gotaland County	Gothenburg
Sweden	Vastra Gotaland	Gothenburg
Sweden	Vasterbotten	Umeå
Sweden	Kronoberg	Växjö
Sweden	Vastragotaland	Gothenburg
Sweden	Sodermanland	Söderhamn
Sweden	Blekinge	Karlskrona
Sweden	Vastmanland	Västerås
Sweden	Varmland	Karlstad
Sweden	Jamtland Harjedalen	Härjedalen
Sweden	Dalarna	Falun
Sweden	Gavleborg County	Gävle
Sweden	Ostergotland	Linköping
Sweden	Vasternorrland	Härnösand
Sweden	Norrbotten	Luleå
Sweden	Vastra Gotalandsregionen	Gothenburg
Sweden	Region Skane	Malmö
Sweden	Region Stockholm	Stockholm
Sweden	Region Vastra Gotaland	Gothenburg
Sweden	AstergAPtland	Linköping
Sweden	Västra Götaland	Gothenburg
Sweden	Jonkopings lan	Jönköping
Sweden	Gavleborgs	Gävle
Sweden	Orebro lan	Örebro
Sweden	Västmanland	Västerås
Sweden	Region Norrbotten	Luleå
Sweden	Region Halland	Halmstad
Sweden	Region Kalmar	Kalmar
Sweden	Västerbotten	Umeå
Sweden	Gavleborgs lan	Gävle
Sweden	Västernorrland	Härnösand
Sweden	Sörmland	Nyköping
Sweden	Östergötland	Linköping
