 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
"Wyoming" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"New York" 0 0 0 0 0 0 4 7 3 9 0 3 6 1050 103 2 0 0 0 11 0 0 0 0 0
"Kansas" 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 1 0 0 0 0 0
"Nevada" 0 0 0 0 0 0 0 0 2 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
"Illinois" 0 0 0 0 0 0 2 11 86 0 11 11 0 2 0 2 0 6 3 13 14 1 0 0 0
"Vermont" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Montana" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"Iowa" 0 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0
"South Carolina" 0 0 0 0 0 0 0 0 1 3 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0
"New Hampshire" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"Arizona" 0 0 0 0 0 0 0 1 0 4 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0
"District of Columbia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"New Jersey" 0 0 0 0 0 0 0 0 3 4 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Maryland" 0 0 0 0 0 1 0 0 1 3 2 0 0 0 0 9 0 0 0 0 0 0 0 0 0
"Maine" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Delaware" 0 0 0 0 0 0 0 0 0 5 1 4 0 0 0 0 0 1 0 0 0 0 0 0 0
"Rhode Island" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0
"Kentucky" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ohio" 0 0 0 0 0 0 0 19 9 3 0 0 0 1 0 3 0 0 0 1 0 0 0 0 0
"Wisconsin" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"Oregon" 0 0 0 0 0 0 0 0 0 3 0 1 0 2 0 1 0 0 2 0 0 0 0 0 0
"North Dakota" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"Arkansas" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Indiana" 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
"Minnesota" 0 0 0 0 0 0 0 0 2 27 0 0 3 0 0 5 0 0 58 0 0 0 0 0 0
"Connecticut" 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
